report_date,category,item,value,score,unit,note
2023-12-31,GAUGE,cycle_position,28.56,28.56,0-100,偏冷区间｜钟摆靠近低估端。逐步建仓，但保留现金等待更极端情绪。
2023-12-31,COMPONENT,valuation,3.61,3.61,0-100,沪深300 PE=10.38(3.3%) PB=1.19(3.3%)；中证全指 PE=13.70(4.4%)；全市场PB近似(中证800)=1.26(3.3%)
2023-12-31,COMPONENT,spread,4.74,1.15,%,股债收益差=4.74%(98.8%分位)；akshare.bond_zh_us_rate
2023-12-31,COMPONENT,turnover,8012.07,54.87,亿元,成交额=8012亿/20日均=7391亿/60日均=7859亿
2023-12-31,COMPONENT,margin,15792.86,67.38,亿元,融资余额=15793亿/20日均=15915亿/60日均=15717亿
2023-12-31,INDEX,沪深300_PE-TTM 历史分位,10.38,3.33,%,
2023-12-31,INDEX,沪深300_PB 历史分位,1.19,3.33,%,
2023-12-31,INDEX,中证全指_PE-TTM 历史分位,13.7,4.44,%,
2023-12-31,INDEX,中证800(全市场PB近似)_PB 历史分位,1.26,3.33,%,
